comunidad|provincia|municipio|partido|votos|porcentaje
andalucia|cordoba|Cabra|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|510|6.6
andalucia|cordoba|Cabra|IZQESP|7|0.09
andalucia|cordoba|Cabra|PP|3.102|40.18
andalucia|cordoba|Cabra|PSOE|2.433|31.51
andalucia|cordoba|Cabra|VOX|874|11.32
andalucia|cordoba|Cabra|SUMAR|241|3.12
andalucia|cordoba|Cabra|PODEMOS|201|2.6
andalucia|cordoba|Cañete de las Torres|FO|3|0.21
andalucia|cordoba|Cañete de las Torres|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|58|4.19
andalucia|cordoba|Cañete de las Torres|IZQESP|5|0.36
andalucia|cordoba|Cañete de las Torres|PP|479|34.6
andalucia|cordoba|Cañete de las Torres|PSOE|556|40.17
andalucia|cordoba|Cañete de las Torres|VOX|109|7.87
andalucia|cordoba|Cañete de las Torres|SUMAR|94|6.79
andalucia|cordoba|Cañete de las Torres|PODEMOS|18|1.3
andalucia|cordoba|Carcabuey|FO|2|0.19
andalucia|cordoba|Carcabuey|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|60|5.98
andalucia|cordoba|Carcabuey|IZQESP|7|0.69
andalucia|cordoba|Carcabuey|PP|369|36.82
andalucia|cordoba|Carcabuey|PSOE|296|29.54
andalucia|cordoba|Carcabuey|VOX|92|9.18
andalucia|cordoba|Carcabuey|SUMAR|135|13.47
andalucia|cordoba|Carcabuey|PODEMOS|18|1.79
andalucia|cordoba|Cardeña|FO|1|0.18
andalucia|cordoba|Cardeña|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|5|0.91
andalucia|cordoba|Cardeña|IZQESP|0|0
andalucia|cordoba|Cardeña|PP|208|38.23
andalucia|cordoba|Cardeña|PSOE|253|46.5
andalucia|cordoba|Cardeña|VOX|31|5.69
andalucia|cordoba|Cardeña|SUMAR|31|5.69
andalucia|cordoba|Cardeña|PODEMOS|11|2.02
andalucia|cordoba|Castro del Río|FO|14|0.41
andalucia|cordoba|Castro del Río|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|142|4.21
andalucia|cordoba|Castro del Río|IZQESP|3|0.08
andalucia|cordoba|Castro del Río|PP|982|29.16
andalucia|cordoba|Castro del Río|PSOE|1.399|41.55
andalucia|cordoba|Castro del Río|VOX|244|7.24
andalucia|cordoba|Castro del Río|SUMAR|399|11.85
andalucia|cordoba|Castro del Río|PODEMOS|53|1.57
andalucia|cordoba|Conquista|FO|0|0
andalucia|cordoba|Conquista|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|5|2.77
andalucia|cordoba|Conquista|IZQESP|0|0
andalucia|cordoba|Conquista|PP|43|23.88
andalucia|cordoba|Conquista|PSOE|102|56.66
andalucia|cordoba|Conquista|VOX|18|10
andalucia|cordoba|Conquista|SUMAR|7|3.88
andalucia|cordoba|Conquista|PODEMOS|0|0
andalucia|cordoba|Córdoba|FO|375|0.28
andalucia|cordoba|Córdoba|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|7.665|5.92
andalucia|cordoba|Córdoba|IZQESP|297|0.22
andalucia|cordoba|Córdoba|PP|55.293|42.7
andalucia|cordoba|Córdoba|PSOE|32.811|25.34
andalucia|cordoba|Córdoba|VOX|14.606|11.28
andalucia|cordoba|Córdoba|SUMAR|8.190|6.32
andalucia|cordoba|Córdoba|PODEMOS|4.694|3.62
andalucia|cordoba|Doña Mencía|FO|4|0.21
andalucia|cordoba|Doña Mencía|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|60|3.19
andalucia|cordoba|Doña Mencía|IZQESP|2|0.1
andalucia|cordoba|Doña Mencía|PP|354|18.85
andalucia|cordoba|Doña Mencía|PSOE|729|38.83
andalucia|cordoba|Doña Mencía|VOX|70|3.72
andalucia|cordoba|Doña Mencía|SUMAR|554|29.51
andalucia|cordoba|Doña Mencía|PODEMOS|63|3.35
andalucia|cordoba|Dos Torres|FO|0|0
andalucia|cordoba|Dos Torres|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|15|1.2
andalucia|cordoba|Dos Torres|IZQESP|0|0
andalucia|cordoba|Dos Torres|PP|620|49.71
andalucia|cordoba|Dos Torres|PSOE|413|33.11
andalucia|cordoba|Dos Torres|VOX|143|11.46
andalucia|cordoba|Dos Torres|SUMAR|20|1.6
andalucia|cordoba|Dos Torres|PODEMOS|8|0.64
andalucia|cordoba|El Carpio|FO|3|0.17
andalucia|cordoba|El Carpio|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|101|5.78
andalucia|cordoba|El Carpio|IZQESP|8|0.45
andalucia|cordoba|El Carpio|PP|731|41.84
andalucia|cordoba|El Carpio|PSOE|478|27.36
andalucia|cordoba|El Carpio|VOX|197|11.27
andalucia|cordoba|El Carpio|SUMAR|137|7.84
andalucia|cordoba|El Carpio|PODEMOS|38|2.17
andalucia|cordoba|El Guijo|FO|1|0.55
andalucia|cordoba|El Guijo|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|3|1.66
andalucia|cordoba|El Guijo|IZQESP|0|0
andalucia|cordoba|El Guijo|PP|91|50.55
andalucia|cordoba|El Guijo|PSOE|62|34.44
andalucia|cordoba|El Guijo|VOX|16|8.88
andalucia|cordoba|El Guijo|SUMAR|2|1.11
andalucia|cordoba|El Guijo|PODEMOS|1|0.55
andalucia|cordoba|El Viso|FO|0|0
andalucia|cordoba|El Viso|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|34|2.88
andalucia|cordoba|El Viso|IZQESP|0|0
andalucia|cordoba|El Viso|PP|429|36.35
andalucia|cordoba|El Viso|PSOE|572|48.47
andalucia|cordoba|El Viso|VOX|52|4.4
andalucia|cordoba|El Viso|SUMAR|46|3.89
andalucia|cordoba|El Viso|PODEMOS|12|1.01
andalucia|cordoba|Encinas Reales|FO|1|0.1
andalucia|cordoba|Encinas Reales|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|39|3.95
andalucia|cordoba|Encinas Reales|IZQESP|1|0.1
andalucia|cordoba|Encinas Reales|PP|369|37.38
andalucia|cordoba|Encinas Reales|PSOE|375|37.99
andalucia|cordoba|Encinas Reales|VOX|102|10.33
andalucia|cordoba|Encinas Reales|SUMAR|41|4.15
andalucia|cordoba|Encinas Reales|PODEMOS|17|1.72
andalucia|cordoba|Espejo|FO|3|0.18
andalucia|cordoba|Espejo|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|32|1.98
andalucia|cordoba|Espejo|IZQESP|0|0
andalucia|cordoba|Espejo|PP|370|22.96
andalucia|cordoba|Espejo|PSOE|654|40.59
andalucia|cordoba|Espejo|VOX|55|3.41
andalucia|cordoba|Espejo|SUMAR|443|27.49
andalucia|cordoba|Espejo|PODEMOS|18|1.11
andalucia|cordoba|Espiel|FO|3|0.39
andalucia|cordoba|Espiel|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|28|3.68
andalucia|cordoba|Espiel|IZQESP|0|0
andalucia|cordoba|Espiel|PP|340|44.79
andalucia|cordoba|Espiel|PSOE|281|37.02
andalucia|cordoba|Espiel|VOX|55|7.24
andalucia|cordoba|Espiel|SUMAR|18|2.37
andalucia|cordoba|Espiel|PODEMOS|12|1.58
andalucia|cordoba|Fernán-Núñez|FO|8|0.2
andalucia|cordoba|Fernán-Núñez|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|200|5.06
andalucia|cordoba|Fernán-Núñez|IZQESP|6|0.15
andalucia|cordoba|Fernán-Núñez|PP|1.204|30.47
andalucia|cordoba|Fernán-Núñez|PSOE|1.390|35.18
andalucia|cordoba|Fernán-Núñez|VOX|229|5.79
andalucia|cordoba|Fernán-Núñez|SUMAR|579|14.65
andalucia|cordoba|Fernán-Núñez|PODEMOS|140|3.54
andalucia|cordoba|Fuente-Tójar|FO|2|0.54
andalucia|cordoba|Fuente-Tójar|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|6|1.62
andalucia|cordoba|Fuente-Tójar|IZQESP|0|0
andalucia|cordoba|Fuente-Tójar|PP|110|29.72
andalucia|cordoba|Fuente-Tójar|PSOE|154|41.62
andalucia|cordoba|Fuente-Tójar|VOX|77|20.81
andalucia|cordoba|Fuente-Tójar|SUMAR|5|1.35
andalucia|cordoba|Fuente-Tójar|PODEMOS|5|1.35
andalucia|cordoba|Fuente Carreteros|FO|4|0.76
andalucia|cordoba|Fuente Carreteros|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|7|1.33
andalucia|cordoba|Fuente Carreteros|IZQESP|0|0
andalucia|cordoba|Fuente Carreteros|PP|57|10.87
andalucia|cordoba|Fuente Carreteros|PSOE|313|59.73
andalucia|cordoba|Fuente Carreteros|VOX|25|4.77
andalucia|cordoba|Fuente Carreteros|SUMAR|94|17.93
andalucia|cordoba|Fuente Carreteros|PODEMOS|16|3.05
andalucia|cordoba|Fuente la Lancha|FO|0|0
andalucia|cordoba|Fuente la Lancha|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|3|1.64
andalucia|cordoba|Fuente la Lancha|IZQESP|0|0
andalucia|cordoba|Fuente la Lancha|PP|94|51.64
andalucia|cordoba|Fuente la Lancha|PSOE|72|39.56
andalucia|cordoba|Fuente la Lancha|VOX|13|7.14
andalucia|cordoba|Fuente la Lancha|SUMAR|0|0
andalucia|cordoba|Fuente la Lancha|PODEMOS|0|0
andalucia|cordoba|Fuente Obejuna|FO|5|0.25
andalucia|cordoba|Fuente Obejuna|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|54|2.73
andalucia|cordoba|Fuente Obejuna|IZQESP|1|0.05
andalucia|cordoba|Fuente Obejuna|PP|754|38.17
andalucia|cordoba|Fuente Obejuna|PSOE|850|43.03
andalucia|cordoba|Fuente Obejuna|VOX|178|9.01
andalucia|cordoba|Fuente Obejuna|SUMAR|52|2.63
andalucia|cordoba|Fuente Obejuna|PODEMOS|23|1.16
andalucia|cordoba|Fuente Palmera|FO|11|0.28
andalucia|cordoba|Fuente Palmera|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|309|8.13
andalucia|cordoba|Fuente Palmera|IZQESP|9|0.23
andalucia|cordoba|Fuente Palmera|PP|1.056|27.8
andalucia|cordoba|Fuente Palmera|PSOE|1.423|37.46
andalucia|cordoba|Fuente Palmera|VOX|315|8.29
andalucia|cordoba|Fuente Palmera|SUMAR|480|12.63
andalucia|cordoba|Fuente Palmera|PODEMOS|56|1.47
andalucia|cordoba|Guadalcázar|FO|3|0.56
andalucia|cordoba|Guadalcázar|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|26|4.86
andalucia|cordoba|Guadalcázar|IZQESP|1|0.18
andalucia|cordoba|Guadalcázar|PP|164|30.71
andalucia|cordoba|Guadalcázar|PSOE|248|46.44
andalucia|cordoba|Guadalcázar|VOX|40|7.49
andalucia|cordoba|Guadalcázar|SUMAR|3|0.56
andalucia|cordoba|Guadalcázar|PODEMOS|23|4.3
andalucia|cordoba|Hinojosa del Duque|FO|8|0.29
andalucia|cordoba|Hinojosa del Duque|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|70|2.6
andalucia|cordoba|Hinojosa del Duque|IZQESP|1|0.03
andalucia|cordoba|Hinojosa del Duque|PP|1.276|47.48
andalucia|cordoba|Hinojosa del Duque|PSOE|881|32.78
andalucia|cordoba|Hinojosa del Duque|VOX|298|11.09
andalucia|cordoba|Hinojosa del Duque|SUMAR|57|2.12
andalucia|cordoba|Hinojosa del Duque|PODEMOS|16|0.59
andalucia|cordoba|Hornachuelos|FO|5|0.32
andalucia|cordoba|Hornachuelos|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|92|5.89
andalucia|cordoba|Hornachuelos|IZQESP|5|0.32
andalucia|cordoba|Hornachuelos|PP|454|29.1
andalucia|cordoba|Hornachuelos|PSOE|653|41.85
