comunidad|provincia|municipio|partido|votos|porcentaje
andalucia|huelva|Bollullos Par del Condado|PSOE|1.477|36.49
andalucia|huelva|Bollullos Par del Condado|VOX|414|10.22
andalucia|huelva|Bollullos Par del Condado|SUMAR|207|5.11
andalucia|huelva|Bollullos Par del Condado|PODEMOS|135|3.33
andalucia|huelva|Bonares|FO|1|0.04
andalucia|huelva|Bonares|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|47|2.05
andalucia|huelva|Bonares|IZQESP|0|0
andalucia|huelva|Bonares|PP|877|38.43
andalucia|huelva|Bonares|PSOE|1.092|47.85
andalucia|huelva|Bonares|VOX|112|4.9
andalucia|huelva|Bonares|SUMAR|57|2.49
andalucia|huelva|Bonares|PODEMOS|29|1.27
andalucia|huelva|Cabezas Rubias|FO|1|0.49
andalucia|huelva|Cabezas Rubias|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|16|7.84
andalucia|huelva|Cabezas Rubias|IZQESP|0|0
andalucia|huelva|Cabezas Rubias|PP|45|22.05
andalucia|huelva|Cabezas Rubias|PSOE|101|49.5
andalucia|huelva|Cabezas Rubias|VOX|21|10.29
andalucia|huelva|Cabezas Rubias|SUMAR|6|2.94
andalucia|huelva|Cabezas Rubias|PODEMOS|6|2.94
andalucia|huelva|Cala|FO|1|0.22
andalucia|huelva|Cala|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|5|1.1
andalucia|huelva|Cala|IZQESP|0|0
andalucia|huelva|Cala|PP|102|22.61
andalucia|huelva|Cala|PSOE|269|59.64
andalucia|huelva|Cala|VOX|28|6.2
andalucia|huelva|Cala|SUMAR|10|2.21
andalucia|huelva|Cala|PODEMOS|17|3.76
andalucia|huelva|Calañas|FO|2|0.2
andalucia|huelva|Calañas|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|27|2.73
andalucia|huelva|Calañas|IZQESP|2|0.2
andalucia|huelva|Calañas|PP|403|40.78
andalucia|huelva|Calañas|PSOE|394|39.87
andalucia|huelva|Calañas|VOX|89|9
andalucia|huelva|Calañas|SUMAR|29|2.93
andalucia|huelva|Calañas|PODEMOS|14|1.41
andalucia|huelva|Campofrío|FO|1|0.33
andalucia|huelva|Campofrío|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|14|4.68
andalucia|huelva|Campofrío|IZQESP|0|0
andalucia|huelva|Campofrío|PP|71|23.74
andalucia|huelva|Campofrío|PSOE|163|54.51
andalucia|huelva|Campofrío|VOX|22|7.35
andalucia|huelva|Campofrío|SUMAR|12|4.01
andalucia|huelva|Campofrío|PODEMOS|6|2
andalucia|huelva|Cañaveral de León|FO|0|0
andalucia|huelva|Cañaveral de León|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|10|7.24
andalucia|huelva|Cañaveral de León|IZQESP|0|0
andalucia|huelva|Cañaveral de León|PP|42|30.43
andalucia|huelva|Cañaveral de León|PSOE|65|47.1
andalucia|huelva|Cañaveral de León|VOX|13|9.42
andalucia|huelva|Cañaveral de León|SUMAR|2|1.44
andalucia|huelva|Cañaveral de León|PODEMOS|2|1.44
andalucia|huelva|Cartaya|FO|13|0.26
andalucia|huelva|Cartaya|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|295|6.08
andalucia|huelva|Cartaya|IZQESP|10|0.2
andalucia|huelva|Cartaya|PP|2.060|42.48
andalucia|huelva|Cartaya|PSOE|1.231|25.38
andalucia|huelva|Cartaya|VOX|791|16.31
andalucia|huelva|Cartaya|SUMAR|155|3.19
andalucia|huelva|Cartaya|PODEMOS|94|1.93
andalucia|huelva|Castaño del Robledo|FO|1|1.04
andalucia|huelva|Castaño del Robledo|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|3|3.12
andalucia|huelva|Castaño del Robledo|IZQESP|0|0
andalucia|huelva|Castaño del Robledo|PP|36|37.5
andalucia|huelva|Castaño del Robledo|PSOE|31|32.29
andalucia|huelva|Castaño del Robledo|VOX|4|4.16
andalucia|huelva|Castaño del Robledo|SUMAR|7|7.29
andalucia|huelva|Castaño del Robledo|PODEMOS|9|9.37
andalucia|huelva|Chucena|FO|0|0
andalucia|huelva|Chucena|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|34|3.07
andalucia|huelva|Chucena|IZQESP|0|0
andalucia|huelva|Chucena|PP|344|31.07
andalucia|huelva|Chucena|PSOE|534|48.23
andalucia|huelva|Chucena|VOX|151|13.64
andalucia|huelva|Chucena|SUMAR|7|0.63
andalucia|huelva|Chucena|PODEMOS|13|1.17
andalucia|huelva|Corteconcepción|FO|0|0
andalucia|huelva|Corteconcepción|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|1|0.43
andalucia|huelva|Corteconcepción|IZQESP|0|0
andalucia|huelva|Corteconcepción|PP|56|24.45
andalucia|huelva|Corteconcepción|PSOE|128|55.89
andalucia|huelva|Corteconcepción|VOX|11|4.8
andalucia|huelva|Corteconcepción|SUMAR|20|8.73
andalucia|huelva|Corteconcepción|PODEMOS|7|3.05
andalucia|huelva|Cortegana|FO|2|0.14
andalucia|huelva|Cortegana|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|68|4.81
andalucia|huelva|Cortegana|IZQESP|0|0
andalucia|huelva|Cortegana|PP|509|36.02
andalucia|huelva|Cortegana|PSOE|557|39.41
andalucia|huelva|Cortegana|VOX|103|7.28
andalucia|huelva|Cortegana|SUMAR|89|6.29
andalucia|huelva|Cortegana|PODEMOS|30|2.12
andalucia|huelva|Cortelazor|FO|0|0
andalucia|huelva|Cortelazor|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|0|0
andalucia|huelva|Cortelazor|IZQESP|1|0.89
andalucia|huelva|Cortelazor|PP|34|30.35
andalucia|huelva|Cortelazor|PSOE|55|49.1
andalucia|huelva|Cortelazor|VOX|6|5.35
andalucia|huelva|Cortelazor|SUMAR|7|6.25
andalucia|huelva|Cortelazor|PODEMOS|6|5.35
andalucia|huelva|Cumbres de Enmedio|FO|0|0
andalucia|huelva|Cumbres de Enmedio|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|0|0
andalucia|huelva|Cumbres de Enmedio|IZQESP|0|0
andalucia|huelva|Cumbres de Enmedio|PP|13|46.42
andalucia|huelva|Cumbres de Enmedio|PSOE|6|21.42
andalucia|huelva|Cumbres de Enmedio|VOX|7|25
andalucia|huelva|Cumbres de Enmedio|SUMAR|2|7.14
andalucia|huelva|Cumbres de Enmedio|PODEMOS|0|0
andalucia|huelva|Cumbres de San Bartolomé|FO|0|0
