comunidad|provincia|municipio|partido|votos|porcentaje
cyl|avila|Becedas|IZQESP|0|0
cyl|avila|Becedas|PP|45|58.44
cyl|avila|Becedas|PSOE|16|20.77
cyl|avila|Becedas|VOX|7|9.09
cyl|avila|Becedas|SUMAR|3|3.89
cyl|avila|Becedas|PODEMOS|0|0
cyl|avila|Becedillas|FO|0|0
cyl|avila|Becedillas|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|5|9.8
cyl|avila|Becedillas|IZQESP|0|0
cyl|avila|Becedillas|PP|31|60.78
cyl|avila|Becedillas|PSOE|7|13.72
cyl|avila|Becedillas|VOX|7|13.72
cyl|avila|Becedillas|SUMAR|0|0
cyl|avila|Becedillas|PODEMOS|0|0
cyl|avila|Bercial de Zapardiel|FO|0|0
cyl|avila|Bercial de Zapardiel|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|3|2.83
cyl|avila|Bercial de Zapardiel|IZQESP|0|0
cyl|avila|Bercial de Zapardiel|PP|51|48.11
cyl|avila|Bercial de Zapardiel|PSOE|33|31.13
cyl|avila|Bercial de Zapardiel|VOX|3|2.83
cyl|avila|Bercial de Zapardiel|SUMAR|13|12.26
cyl|avila|Bercial de Zapardiel|PODEMOS|0|0
cyl|avila|Bernuy-Zapardiel|FO|0|0
cyl|avila|Bernuy-Zapardiel|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|0|0
cyl|avila|Bernuy-Zapardiel|IZQESP|0|0
cyl|avila|Bernuy-Zapardiel|PP|48|78.68
cyl|avila|Bernuy-Zapardiel|PSOE|9|14.75
cyl|avila|Bernuy-Zapardiel|VOX|3|4.91
cyl|avila|Bernuy-Zapardiel|SUMAR|0|0
cyl|avila|Bernuy-Zapardiel|PODEMOS|0|0
cyl|avila|Berrocalejo de Aragona|FO|0|0
cyl|avila|Berrocalejo de Aragona|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|2|6.45
cyl|avila|Berrocalejo de Aragona|IZQESP|0|0
cyl|avila|Berrocalejo de Aragona|PP|8|25.8
cyl|avila|Berrocalejo de Aragona|PSOE|10|32.25
cyl|avila|Berrocalejo de Aragona|VOX|0|0
cyl|avila|Berrocalejo de Aragona|SUMAR|7|22.58
cyl|avila|Berrocalejo de Aragona|PODEMOS|2|6.45
cyl|avila|Blascomillán|FO|0|0
cyl|avila|Blascomillán|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|3|2.85
cyl|avila|Blascomillán|IZQESP|0|0
cyl|avila|Blascomillán|PP|70|66.66
cyl|avila|Blascomillán|PSOE|21|20
cyl|avila|Blascomillán|VOX|6|5.71
cyl|avila|Blascomillán|SUMAR|2|1.9
cyl|avila|Blascomillán|PODEMOS|0|0
cyl|avila|Blasconuño de Matacabras|FO|0|0
cyl|avila|Blasconuño de Matacabras|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|0|0
cyl|avila|Blasconuño de Matacabras|IZQESP|0|0
cyl|avila|Blasconuño de Matacabras|PP|5|41.66
cyl|avila|Blasconuño de Matacabras|PSOE|2|16.66
cyl|avila|Blasconuño de Matacabras|VOX|4|33.33
cyl|avila|Blasconuño de Matacabras|SUMAR|0|0
cyl|avila|Blasconuño de Matacabras|PODEMOS|1|8.33
cyl|avila|Blascosancho|FO|1|1.96
cyl|avila|Blascosancho|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|0|0
cyl|avila|Blascosancho|IZQESP|0|0
cyl|avila|Blascosancho|PP|24|47.05
cyl|avila|Blascosancho|PSOE|19|37.25
cyl|avila|Blascosancho|VOX|4|7.84
cyl|avila|Blascosancho|SUMAR|1|1.96
cyl|avila|Blascosancho|PODEMOS|1|1.96
cyl|avila|Bohoyo|FO|0|0
cyl|avila|Bohoyo|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|9|9
cyl|avila|Bohoyo|IZQESP|0|0
cyl|avila|Bohoyo|PP|62|62
cyl|avila|Bohoyo|PSOE|17|17
cyl|avila|Bohoyo|VOX|10|10
cyl|avila|Bohoyo|SUMAR|1|1
cyl|avila|Bohoyo|PODEMOS|0|0
cyl|avila|Bonilla de la Sierra|FO|0|0
cyl|avila|Bonilla de la Sierra|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|4|4.7
cyl|avila|Bonilla de la Sierra|IZQESP|0|0
cyl|avila|Bonilla de la Sierra|PP|41|48.23
cyl|avila|Bonilla de la Sierra|PSOE|21|24.7
cyl|avila|Bonilla de la Sierra|VOX|13|15.29
cyl|avila|Bonilla de la Sierra|SUMAR|0|0
cyl|avila|Bonilla de la Sierra|PODEMOS|3|3.52
cyl|avila|Brabos|FO|0|0
cyl|avila|Brabos|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|0|0
cyl|avila|Brabos|IZQESP|0|0
cyl|avila|Brabos|PP|24|77.41
cyl|avila|Brabos|PSOE|5|16.12
cyl|avila|Brabos|VOX|1|3.22
cyl|avila|Brabos|SUMAR|0|0
cyl|avila|Brabos|PODEMOS|0|0
cyl|avila|Bularros|FO|0|0
cyl|avila|Bularros|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|2|7.69
cyl|avila|Bularros|IZQESP|0|0
cyl|avila|Bularros|PP|16|61.53
cyl|avila|Bularros|PSOE|6|23.07
cyl|avila|Bularros|VOX|2|7.69
cyl|avila|Bularros|SUMAR|0|0
cyl|avila|Bularros|PODEMOS|0|0
cyl|avila|Burgohondo|FO|0|0
cyl|avila|Burgohondo|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|24|3.94
cyl|avila|Burgohondo|IZQESP|0|0
cyl|avila|Burgohondo|PP|355|58.29
cyl|avila|Burgohondo|PSOE|113|18.55
cyl|avila|Burgohondo|VOX|84|13.79
cyl|avila|Burgohondo|SUMAR|8|1.31
cyl|avila|Burgohondo|PODEMOS|8|1.31
cyl|avila|Cabezas de Alambre|FO|0|0
cyl|avila|Cabezas de Alambre|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|1|1.19
cyl|avila|Cabezas de Alambre|IZQESP|0|0
cyl|avila|Cabezas de Alambre|PP|59|70.23
cyl|avila|Cabezas de Alambre|PSOE|15|17.85
cyl|avila|Cabezas de Alambre|VOX|5|5.95
cyl|avila|Cabezas de Alambre|SUMAR|0|0
cyl|avila|Cabezas de Alambre|PODEMOS|0|0
cyl|avila|Cabezas del Pozo|FO|0|0
cyl|avila|Cabezas del Pozo|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|1|1.61
cyl|avila|Cabezas del Pozo|IZQESP|0|0
cyl|avila|Cabezas del Pozo|PP|28|45.16
cyl|avila|Cabezas del Pozo|PSOE|25|40.32
cyl|avila|Cabezas del Pozo|VOX|1|1.61
cyl|avila|Cabezas del Pozo|SUMAR|5|8.06
cyl|avila|Cabezas del Pozo|PODEMOS|2|3.22
cyl|avila|Cabezas del Villar|FO|0|0
cyl|avila|Cabezas del Villar|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|1|0.84
cyl|avila|Cabezas del Villar|IZQESP|0|0
cyl|avila|Cabezas del Villar|PP|83|69.74
cyl|avila|Cabezas del Villar|PSOE|14|11.76
cyl|avila|Cabezas del Villar|VOX|14|11.76
cyl|avila|Cabezas del Villar|SUMAR|0|0
cyl|avila|Cabezas del Villar|PODEMOS|3|2.52
cyl|avila|Cabizuela|FO|0|0
cyl|avila|Cabizuela|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|4|6.89
cyl|avila|Cabizuela|IZQESP|0|0
cyl|avila|Cabizuela|PP|35|60.34
cyl|avila|Cabizuela|PSOE|8|13.79
cyl|avila|Cabizuela|VOX|11|18.96
cyl|avila|Cabizuela|SUMAR|0|0
cyl|avila|Cabizuela|PODEMOS|0|0
cyl|avila|Canales|FO|0|0
cyl|avila|Canales|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|1|3.57
cyl|avila|Canales|IZQESP|0|0
cyl|avila|Canales|PP|17|60.71
cyl|avila|Canales|PSOE|8|28.57
cyl|avila|Canales|VOX|1|3.57
cyl|avila|Canales|SUMAR|0|0
cyl|avila|Canales|PODEMOS|0|0
cyl|avila|Candeleda|FO|5|0.22
cyl|avila|Candeleda|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|107|4.87
cyl|avila|Candeleda|IZQESP|3|0.13
cyl|avila|Candeleda|PP|909|41.41
cyl|avila|Candeleda|PSOE|785|35.76
cyl|avila|Candeleda|VOX|239|10.88
cyl|avila|Candeleda|SUMAR|50|2.27
cyl|avila|Candeleda|PODEMOS|40|1.82
cyl|avila|Cantiveros|FO|0|0
cyl|avila|Cantiveros|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|2|2.7
cyl|avila|Cantiveros|IZQESP|0|0
cyl|avila|Cantiveros|PP|41|55.4
cyl|avila|Cantiveros|PSOE|23|31.08
cyl|avila|Cantiveros|VOX|5|6.75
cyl|avila|Cantiveros|SUMAR|0|0
cyl|avila|Cantiveros|PODEMOS|1|1.35
cyl|avila|Cardeñosa|FO|1|0.49
cyl|avila|Cardeñosa|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|9|4.43
cyl|avila|Cardeñosa|IZQESP|0|0
cyl|avila|Cardeñosa|PP|74|36.45
cyl|avila|Cardeñosa|PSOE|71|34.97
cyl|avila|Cardeñosa|VOX|28|13.79
cyl|avila|Cardeñosa|SUMAR|6|2.95
cyl|avila|Cardeñosa|PODEMOS|4|1.97
cyl|avila|Casas del Puerto|FO|0|0
cyl|avila|Casas del Puerto|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|5|8.92
cyl|avila|Casas del Puerto|IZQESP|0|0
cyl|avila|Casas del Puerto|PP|33|58.92
cyl|avila|Casas del Puerto|PSOE|4|7.14
cyl|avila|Casas del Puerto|VOX|14|25
cyl|avila|Casas del Puerto|SUMAR|0|0
cyl|avila|Casas del Puerto|PODEMOS|0|0
cyl|avila|Casasola|FO|0|0
cyl|avila|Casasola|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|7|15.9
cyl|avila|Casasola|IZQESP|0|0
cyl|avila|Casasola|PP|29|65.9
cyl|avila|Casasola|PSOE|5|11.36
cyl|avila|Casasola|VOX|2|4.54
cyl|avila|Casasola|SUMAR|0|0
cyl|avila|Casasola|PODEMOS|0|0
cyl|avila|Casavieja|FO|2|0.3
cyl|avila|Casavieja|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|18|2.78
cyl|avila|Casavieja|IZQESP|1|0.15
cyl|avila|Casavieja|PP|270|41.79
cyl|avila|Casavieja|PSOE|226|34.98
cyl|avila|Casavieja|VOX|49|7.58
cyl|avila|Casavieja|SUMAR|25|3.86
cyl|avila|Casavieja|PODEMOS|35|5.41
cyl|avila|Casillas|FO|1|0.29
cyl|avila|Casillas|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|6|1.76
cyl|avila|Casillas|IZQESP|0|0
cyl|avila|Casillas|PP|175|51.47
cyl|avila|Casillas|PSOE|124|36.47
cyl|avila|Casillas|VOX|20|5.88
cyl|avila|Casillas|SUMAR|1|0.29
cyl|avila|Casillas|PODEMOS|2|0.58
cyl|avila|Castellanos de Zapardiel|FO|0|0
cyl|avila|Castellanos de Zapardiel|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|4|5.97
cyl|avila|Castellanos de Zapardiel|IZQESP|0|0
cyl|avila|Castellanos de Zapardiel|PP|38|56.71
cyl|avila|Castellanos de Zapardiel|PSOE|9|13.43
cyl|avila|Castellanos de Zapardiel|VOX|16|23.88
cyl|avila|Castellanos de Zapardiel|SUMAR|0|0
cyl|avila|Castellanos de Zapardiel|PODEMOS|0|0
cyl|avila|Cebreros|FO|3|0.22
cyl|avila|Cebreros|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|65|4.82
cyl|avila|Cebreros|IZQESP|1|0.07
cyl|avila|Cebreros|PP|656|48.66
cyl|avila|Cebreros|PSOE|359|26.63
cyl|avila|Cebreros|VOX|173|12.83
cyl|avila|Cebreros|SUMAR|19|1.4
cyl|avila|Cebreros|PODEMOS|21|1.55
cyl|avila|Cepeda la Mora|FO|0|0
cyl|avila|Cepeda la Mora|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|7|16.66
cyl|avila|Cepeda la Mora|IZQESP|0|0
cyl|avila|Cepeda la Mora|PP|20|47.61
cyl|avila|Cepeda la Mora|PSOE|7|16.66
cyl|avila|Cepeda la Mora|VOX|4|9.52
cyl|avila|Cepeda la Mora|SUMAR|0|0
cyl|avila|Cepeda la Mora|PODEMOS|3|7.14
cyl|avila|Chamartín|FO|0|0
cyl|avila|Chamartín|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|3|6.52
cyl|avila|Chamartín|IZQESP|0|0
cyl|avila|Chamartín|PP|14|30.43
cyl|avila|Chamartín|PSOE|16|34.78
cyl|avila|Chamartín|VOX|8|17.39
cyl|avila|Chamartín|SUMAR|2|4.34
cyl|avila|Chamartín|PODEMOS|1|2.17
cyl|avila|Cillán|FO|0|0
cyl|avila|Cillán|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|1|2.77
cyl|avila|Cillán|IZQESP|1|2.77
cyl|avila|Cillán|PP|14|38.88
cyl|avila|Cillán|PSOE|11|30.55
cyl|avila|Cillán|VOX|4|11.11
cyl|avila|Cillán|SUMAR|2|5.55
cyl|avila|Cillán|PODEMOS|0|0
cyl|avila|Cisla|FO|0|0
cyl|avila|Cisla|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|0|0
cyl|avila|Cisla|IZQESP|0|0
cyl|avila|Cisla|PP|48|67.6
cyl|avila|Cisla|PSOE|11|15.49
cyl|avila|Cisla|VOX|9|12.67
cyl|avila|Cisla|SUMAR|0|0
cyl|avila|Cisla|PODEMOS|2|2.81
cyl|avila|Collado de Contreras|FO|0|0
cyl|avila|Collado de Contreras|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|3|2.7
cyl|avila|Collado de Contreras|IZQESP|0|0
cyl|avila|Collado de Contreras|PP|81|72.97
cyl|avila|Collado de Contreras|PSOE|10|9
cyl|avila|Collado de Contreras|VOX|14|12.61
cyl|avila|Collado de Contreras|SUMAR|0|0
cyl|avila|Collado de Contreras|PODEMOS|1|0.9
cyl|avila|Collado del Mirón|FO|0|0
cyl|avila|Collado del Mirón|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|1|7.14
cyl|avila|Collado del Mirón|IZQESP|0|0
cyl|avila|Collado del Mirón|PP|12|85.71
cyl|avila|Collado del Mirón|PSOE|-|-
cyl|avila|Collado del Mirón|VOX|-|-
cyl|avila|Collado del Mirón|SUMAR|1|7.14
cyl|avila|Collado del Mirón|PODEMOS|0|0
cyl|avila|Constanzana|FO|0|0
cyl|avila|Constanzana|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|1|1.78
cyl|avila|Constanzana|IZQESP|0|0
cyl|avila|Constanzana|PP|42|75
cyl|avila|Constanzana|PSOE|6|10.71
cyl|avila|Constanzana|VOX|7|12.5
cyl|avila|Constanzana|SUMAR|0|0
cyl|avila|Constanzana|PODEMOS|0|0
cyl|avila|Crespos|FO|2|0.73
cyl|avila|Crespos|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|6|2.21
cyl|avila|Crespos|IZQESP|2|0.73
cyl|avila|Crespos|PP|164|60.51
cyl|avila|Crespos|PSOE|46|16.97
cyl|avila|Crespos|VOX|33|12.17
cyl|avila|Crespos|SUMAR|1|0.36
cyl|avila|Crespos|PODEMOS|5|1.84
cyl|avila|Cuevas del Valle|FO|0|0
cyl|avila|Cuevas del Valle|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|4|1.41
cyl|avila|Cuevas del Valle|IZQESP|0|0
cyl|avila|Cuevas del Valle|PP|71|25.08
cyl|avila|Cuevas del Valle|PSOE|131|46.28
cyl|avila|Cuevas del Valle|VOX|20|7.06
cyl|avila|Cuevas del Valle|SUMAR|25|8.83
cyl|avila|Cuevas del Valle|PODEMOS|20|7.06
cyl|avila|Diego del Carpio|FO|0|0
cyl|avila|Diego del Carpio|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|1|1.96
cyl|avila|Diego del Carpio|IZQESP|0|0
cyl|avila|Diego del Carpio|PP|31|60.78
cyl|avila|Diego del Carpio|PSOE|13|25.49
cyl|avila|Diego del Carpio|VOX|2|3.92
cyl|avila|Diego del Carpio|SUMAR|1|1.96
cyl|avila|Diego del Carpio|PODEMOS|1|1.96
cyl|avila|Donjimeno|FO|0|0
cyl|avila|Donjimeno|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|1|2.17
cyl|avila|Donjimeno|IZQESP|0|0
cyl|avila|Donjimeno|PP|28|60.86
cyl|avila|Donjimeno|PSOE|4|8.69
cyl|avila|Donjimeno|VOX|8|17.39
cyl|avila|Donjimeno|SUMAR|0|0
cyl|avila|Donjimeno|PODEMOS|1|2.17
cyl|avila|Donvidas|FO|0|0
cyl|avila|Donvidas|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|0|0
cyl|avila|Donvidas|IZQESP|0|0
cyl|avila|Donvidas|PP|8|36.36
cyl|avila|Donvidas|PSOE|10|45.45
cyl|avila|Donvidas|VOX|4|18.18
cyl|avila|Donvidas|SUMAR|0|0
cyl|avila|Donvidas|PODEMOS|0|0
cyl|avila|El Arenal|FO|0|0
cyl|avila|El Arenal|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|8|1.47
cyl|avila|El Arenal|IZQESP|0|0
cyl|avila|El Arenal|PP|222|40.95
cyl|avila|El Arenal|PSOE|227|41.88
cyl|avila|El Arenal|VOX|15|2.76
cyl|avila|El Arenal|SUMAR|23|4.24
cyl|avila|El Arenal|PODEMOS|32|5.9
cyl|avila|El Barco de Ávila|FO|6|0.61
cyl|avila|El Barco de Ávila|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|42|4.29
cyl|avila|El Barco de Ávila|IZQESP|0|0
cyl|avila|El Barco de Ávila|PP|485|49.54
cyl|avila|El Barco de Ávila|PSOE|287|29.31
cyl|avila|El Barco de Ávila|VOX|60|6.12
cyl|avila|El Barco de Ávila|SUMAR|33|3.37
cyl|avila|El Barco de Ávila|PODEMOS|27|2.75
cyl|avila|El Barraco|FO|1|0.1
cyl|avila|El Barraco|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|51|5.15
cyl|avila|El Barraco|IZQESP|0|0
cyl|avila|El Barraco|PP|633|63.93
cyl|avila|El Barraco|PSOE|157|15.85
cyl|avila|El Barraco|VOX|108|10.9
cyl|avila|El Barraco|SUMAR|6|0.6
cyl|avila|El Barraco|PODEMOS|12|1.21
cyl|avila|El Bohodón|FO|0|0
cyl|avila|El Bohodón|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|6|8.45
cyl|avila|El Bohodón|IZQESP|0|0
cyl|avila|El Bohodón|PP|46|64.78
cyl|avila|El Bohodón|PSOE|6|8.45
cyl|avila|El Bohodón|VOX|9|12.67
cyl|avila|El Bohodón|SUMAR|2|2.81
cyl|avila|El Bohodón|PODEMOS|0|0
cyl|avila|El Fresno|FO|3|1.08
cyl|avila|El Fresno|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|11|3.97
cyl|avila|El Fresno|IZQESP|2|0.72
cyl|avila|El Fresno|PP|134|48.37
cyl|avila|El Fresno|PSOE|55|19.85
cyl|avila|El Fresno|VOX|43|15.52
cyl|avila|El Fresno|SUMAR|8|2.88
cyl|avila|El Fresno|PODEMOS|9|3.24
cyl|avila|El Hornillo|FO|0|0
cyl|avila|El Hornillo|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|4|2.68
cyl|avila|El Hornillo|IZQESP|0|0
cyl|avila|El Hornillo|PP|49|32.88
cyl|avila|El Hornillo|PSOE|39|26.17
cyl|avila|El Hornillo|VOX|33|22.14
