comunidad|provincia|municipio|partido|votos|porcentaje
aragon|zaragoza|Abanto|FO|0|0
aragon|zaragoza|Abanto|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|2|3.92
aragon|zaragoza|Abanto|IZQESP|0|0
aragon|zaragoza|Abanto|PP|31|60.78
aragon|zaragoza|Abanto|PSOE|10|19.6
aragon|zaragoza|Abanto|VOX|6|11.76
aragon|zaragoza|Abanto|SUMAR|1|1.96
aragon|zaragoza|Abanto|PODEMOS|0|0
aragon|zaragoza|Acered|FO|0|0
aragon|zaragoza|Acered|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|1|1.47
aragon|zaragoza|Acered|IZQESP|0|0
aragon|zaragoza|Acered|PP|48|70.58
aragon|zaragoza|Acered|PSOE|15|22.05
aragon|zaragoza|Acered|VOX|3|4.41
aragon|zaragoza|Acered|SUMAR|0|0
aragon|zaragoza|Acered|PODEMOS|0|0
aragon|zaragoza|Agón|FO|0|0
aragon|zaragoza|Agón|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|6|8.1
aragon|zaragoza|Agón|IZQESP|0|0
aragon|zaragoza|Agón|PP|19|25.67
aragon|zaragoza|Agón|PSOE|26|35.13
aragon|zaragoza|Agón|VOX|18|24.32
aragon|zaragoza|Agón|SUMAR|3|4.05
aragon|zaragoza|Agón|PODEMOS|1|1.35
aragon|zaragoza|Aguarón|FO|2|0.69
aragon|zaragoza|Aguarón|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|10|3.49
aragon|zaragoza|Aguarón|IZQESP|0|0
aragon|zaragoza|Aguarón|PP|67|23.42
aragon|zaragoza|Aguarón|PSOE|120|41.95
aragon|zaragoza|Aguarón|VOX|52|18.18
aragon|zaragoza|Aguarón|SUMAR|11|3.84
aragon|zaragoza|Aguarón|PODEMOS|5|1.74
aragon|zaragoza|Aguilón|FO|0|0
aragon|zaragoza|Aguilón|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|3|2.08
aragon|zaragoza|Aguilón|IZQESP|0|0
aragon|zaragoza|Aguilón|PP|85|59.02
aragon|zaragoza|Aguilón|PSOE|24|16.66
aragon|zaragoza|Aguilón|VOX|22|15.27
aragon|zaragoza|Aguilón|SUMAR|4|2.77
aragon|zaragoza|Aguilón|PODEMOS|1|0.69
aragon|zaragoza|Ainzón|FO|0|0
aragon|zaragoza|Ainzón|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|23|4.98
aragon|zaragoza|Ainzón|IZQESP|0|0
aragon|zaragoza|Ainzón|PP|150|32.53
aragon|zaragoza|Ainzón|PSOE|197|42.73
aragon|zaragoza|Ainzón|VOX|53|11.49
aragon|zaragoza|Ainzón|SUMAR|16|3.47
aragon|zaragoza|Ainzón|PODEMOS|3|0.65
aragon|zaragoza|Aladrén|FO|0|0
aragon|zaragoza|Aladrén|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|1|2.7
aragon|zaragoza|Aladrén|IZQESP|1|2.7
aragon|zaragoza|Aladrén|PP|6|16.21
aragon|zaragoza|Aladrén|PSOE|13|35.13
aragon|zaragoza|Aladrén|VOX|1|2.7
aragon|zaragoza|Aladrén|SUMAR|2|5.4
aragon|zaragoza|Aladrén|PODEMOS|8|21.62
aragon|zaragoza|Alagón|FO|6|0.26
aragon|zaragoza|Alagón|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|120|5.34
aragon|zaragoza|Alagón|IZQESP|13|0.57
aragon|zaragoza|Alagón|PP|618|27.52
aragon|zaragoza|Alagón|PSOE|833|37.1
aragon|zaragoza|Alagón|VOX|256|11.4
aragon|zaragoza|Alagón|SUMAR|220|9.79
aragon|zaragoza|Alagón|PODEMOS|68|3.02
aragon|zaragoza|Alarba|FO|0|0
aragon|zaragoza|Alarba|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|0|0
aragon|zaragoza|Alarba|IZQESP|0|0
aragon|zaragoza|Alarba|PP|32|65.3
aragon|zaragoza|Alarba|PSOE|4|8.16
aragon|zaragoza|Alarba|VOX|8|16.32
aragon|zaragoza|Alarba|SUMAR|1|2.04
aragon|zaragoza|Alarba|PODEMOS|2|4.08
aragon|zaragoza|Alberite de San Juan|FO|0|0
aragon|zaragoza|Alberite de San Juan|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|4|7.14
aragon|zaragoza|Alberite de San Juan|IZQESP|0|0
aragon|zaragoza|Alberite de San Juan|PP|29|51.78
aragon|zaragoza|Alberite de San Juan|PSOE|5|8.92
aragon|zaragoza|Alberite de San Juan|VOX|8|14.28
aragon|zaragoza|Alberite de San Juan|SUMAR|2|3.57
aragon|zaragoza|Alberite de San Juan|PODEMOS|3|5.35
aragon|zaragoza|Albeta|FO|0|0
aragon|zaragoza|Albeta|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|4|4.76
aragon|zaragoza|Albeta|IZQESP|0|0
aragon|zaragoza|Albeta|PP|30|35.71
aragon|zaragoza|Albeta|PSOE|27|32.14
aragon|zaragoza|Albeta|VOX|12|14.28
aragon|zaragoza|Albeta|SUMAR|5|5.95
aragon|zaragoza|Albeta|PODEMOS|1|1.19
aragon|zaragoza|Alborge|FO|0|0
aragon|zaragoza|Alborge|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|0|0
aragon|zaragoza|Alborge|IZQESP|0|0
aragon|zaragoza|Alborge|PP|21|36.2
aragon|zaragoza|Alborge|PSOE|22|37.93
aragon|zaragoza|Alborge|VOX|4|6.89
aragon|zaragoza|Alborge|SUMAR|5|8.62
aragon|zaragoza|Alborge|PODEMOS|1|1.72
aragon|zaragoza|Alcalá de Ebro|FO|3|2.2
aragon|zaragoza|Alcalá de Ebro|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|7|5.14
aragon|zaragoza|Alcalá de Ebro|IZQESP|2|1.47
aragon|zaragoza|Alcalá de Ebro|PP|38|27.94
aragon|zaragoza|Alcalá de Ebro|PSOE|55|40.44
aragon|zaragoza|Alcalá de Ebro|VOX|16|11.76
aragon|zaragoza|Alcalá de Ebro|SUMAR|3|2.2
aragon|zaragoza|Alcalá de Ebro|PODEMOS|6|4.41
aragon|zaragoza|Alcalá de Moncayo|FO|0|0
aragon|zaragoza|Alcalá de Moncayo|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|4|5.88
aragon|zaragoza|Alcalá de Moncayo|IZQESP|0|0
aragon|zaragoza|Alcalá de Moncayo|PP|22|32.35
aragon|zaragoza|Alcalá de Moncayo|PSOE|17|25
aragon|zaragoza|Alcalá de Moncayo|VOX|3|4.41
aragon|zaragoza|Alcalá de Moncayo|SUMAR|4|5.88
aragon|zaragoza|Alcalá de Moncayo|PODEMOS|3|4.41
aragon|zaragoza|Alconchel de Ariza|FO|0|0
aragon|zaragoza|Alconchel de Ariza|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|0|0
aragon|zaragoza|Alconchel de Ariza|IZQESP|0|0
aragon|zaragoza|Alconchel de Ariza|PP|4|11.42
aragon|zaragoza|Alconchel de Ariza|PSOE|20|57.14
aragon|zaragoza|Alconchel de Ariza|VOX|3|8.57
aragon|zaragoza|Alconchel de Ariza|SUMAR|1|2.85
aragon|zaragoza|Alconchel de Ariza|PODEMOS|3|8.57
aragon|zaragoza|Aldehuela de Liestos|FO|0|0
aragon|zaragoza|Aldehuela de Liestos|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|5|13.88
aragon|zaragoza|Aldehuela de Liestos|IZQESP|0|0
aragon|zaragoza|Aldehuela de Liestos|PP|18|50
aragon|zaragoza|Aldehuela de Liestos|PSOE|9|25
aragon|zaragoza|Aldehuela de Liestos|VOX|1|2.77
aragon|zaragoza|Aldehuela de Liestos|SUMAR|1|2.77
aragon|zaragoza|Aldehuela de Liestos|PODEMOS|0|0
aragon|zaragoza|Alfajarín|FO|12|1.26
aragon|zaragoza|Alfajarín|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|105|11.09
aragon|zaragoza|Alfajarín|IZQESP|4|0.42
aragon|zaragoza|Alfajarín|PP|318|33.61
aragon|zaragoza|Alfajarín|PSOE|235|24.84
aragon|zaragoza|Alfajarín|VOX|154|16.27
aragon|zaragoza|Alfajarín|SUMAR|44|4.65
aragon|zaragoza|Alfajarín|PODEMOS|26|2.74
aragon|zaragoza|Alfamén|FO|3|0.71
aragon|zaragoza|Alfamén|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|14|3.32
aragon|zaragoza|Alfamén|IZQESP|1|0.23
aragon|zaragoza|Alfamén|PP|157|37.29
aragon|zaragoza|Alfamén|PSOE|184|43.7
aragon|zaragoza|Alfamén|VOX|45|10.68
aragon|zaragoza|Alfamén|SUMAR|5|1.18
aragon|zaragoza|Alfamén|PODEMOS|5|1.18
aragon|zaragoza|Alforque|FO|0|0
aragon|zaragoza|Alforque|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|2|5.12
aragon|zaragoza|Alforque|IZQESP|0|0
aragon|zaragoza|Alforque|PP|17|43.58
aragon|zaragoza|Alforque|PSOE|5|12.82
aragon|zaragoza|Alforque|VOX|9|23.07
aragon|zaragoza|Alforque|SUMAR|1|2.56
aragon|zaragoza|Alforque|PODEMOS|3|7.69
aragon|zaragoza|Alhama de Aragón|FO|1|0.28
aragon|zaragoza|Alhama de Aragón|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|15|4.34
aragon|zaragoza|Alhama de Aragón|IZQESP|0|0
aragon|zaragoza|Alhama de Aragón|PP|137|39.71
aragon|zaragoza|Alhama de Aragón|PSOE|108|31.3
aragon|zaragoza|Alhama de Aragón|VOX|37|10.72
aragon|zaragoza|Alhama de Aragón|SUMAR|18|5.21
aragon|zaragoza|Alhama de Aragón|PODEMOS|7|2.02
aragon|zaragoza|Almochuel|FO|0|0
aragon|zaragoza|Almochuel|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|2|11.76
aragon|zaragoza|Almochuel|IZQESP|0|0
aragon|zaragoza|Almochuel|PP|10|58.82
aragon|zaragoza|Almochuel|PSOE|3|17.64
aragon|zaragoza|Almochuel|VOX|2|11.76
aragon|zaragoza|Almochuel|SUMAR|0|0
aragon|zaragoza|Almochuel|PODEMOS|0|0
aragon|zaragoza|Almonacid de la Cuba|FO|0|0
aragon|zaragoza|Almonacid de la Cuba|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|2|1.69
aragon|zaragoza|Almonacid de la Cuba|IZQESP|0|0
aragon|zaragoza|Almonacid de la Cuba|PP|69|58.47
aragon|zaragoza|Almonacid de la Cuba|PSOE|22|18.64
aragon|zaragoza|Almonacid de la Cuba|VOX|15|12.71
aragon|zaragoza|Almonacid de la Cuba|SUMAR|4|3.38
aragon|zaragoza|Almonacid de la Cuba|PODEMOS|0|0
aragon|zaragoza|Almonacid de la Sierra|FO|0|0
aragon|zaragoza|Almonacid de la Sierra|AGRUPACIÓN DE ELECTORES SE ACABÓ LA FIESTA|10|3.62
aragon|zaragoza|Almonacid de la Sierra|IZQESP|0|0
aragon|zaragoza|Almonacid de la Sierra|PP|93|33.69
